Name,EventID,Rank,Category,MLB,NFL,NHL
Wicked,4167,2,Musicals
Jersey Boys,6282,1,Musicals
Blue Man Group,92,15,Other Theater
The Color Purple,5786,13,Musicals
Phantom Of The Opera,665,8,Musicals
Monty Python Spamalot,5680,23,Musicals
Xanadu,12918,2000,Other Concerts
Grease,336,18,Musicals
Curtains,8575,2000,Musicals
Hairspray,2904,19,Musicals
Mary Poppins,6206,13,Musicals
Chicago - The Musical,158,2000,Musicals
Legally Blonde,11591,22,Musicals
The Lion King,466,5,Musicals
Spring Awakening,11204,20,Other Theater
Avenue Q,4536,2000,Musicals
Georgia Aquarium,8004,2000,Exhibits
Young Frankenstein,13375,3,Musicals
Dirty Dancing,12729,2000,Other Theater
Mamma Mia,1072,17,Musicals
The Little Mermaid,12470,9,Family Shows
Cirque du Soleil: Zumanity,4429,2000,Other Theater
Rent,716,2000,Musicals
Cirque du Soleil: KA,5807,2000,Cirque Shows
A Chorus Line,165,2000,Musicals
Cirque du Soleil: O,1123,2000,Cirque Shows
Cirque du Soleil: Love,9243,2000,Cirque Shows
Disney's High School Musical: The Ice Tour,12773,4,Family Shows
Cirque du Soleil: Kooza,12192,2000,Cirque Shows
Sesame Street Live,778,29,Family Shows
Ringling Bros B&B Circus,726,11,Family Shows
New York Mets,605,26,East
Florida Marlins,293,2000,East
Los Angeles Angels of Anaheim,29,4,West
Philadelphia Phillies,672,5,East
Atlanta Braves,50,7,East
Detroit Tigers,241,3,Central
Arizona Diamondbacks,41,6,West
Pittsburgh Pirates,685,2000,Central
Houston Astros,358,24,Central
San Francisco Giants,759,8,West
Baltimore Orioles,59,9,East
Minnesota Twins,554,2000,Central
Texas Rangers,853,2000,West
Cincinnati Reds,173,2000,Central
Chicago Cubs,162,2000,Central
San Diego Padres,757,2000,West
Washington Nationals,560,2000,East
Colorado Rockies,193,10,West
Cleveland Indians,183,50,Central
St. Louis Cardinals,807,2000,Central
Chicago White Sox,164,11,Central
Milwaukee Brewers,549,2000,Central
Seattle Mariners,771,2000,West
New York Yankees,607,2,East
In the Heights,14734,2000,Other Theater
Boston Red Sox,107,1,East
Cirque du Soleil: Mystere,3572,2000,Other Theater
Toronto Blue Jays,877,2000,East
Tampa Bay Rays,840,2000,East
Los Angeles Dodgers,481,2000,West
Kansas City Royals,428,2000,Central
Oakland Athletics,625,2000,West
Gypsy,1198,2000,Musicals
The Seafarer,14424,2000,Other Theater
High School Musical,11620,31,Family Shows
Twelve Angry Men,5988,2000,Plays
Le Reve,7141,2000,Other Theater
Cirque du Soleil: Corteo,7214,11,Cirque Shows
Sweeney Todd,1960,2000,Musicals
My Fair Lady,569,2000,Musicals
Lehigh Valley Iron Pigs,14833,2000,Baseball
Stomp Out Loud,14497,2000,Other Theater
The Homecoming,14449,2000,Other Theater
New Hampshire Fisher Cats,9305,2000,Minor League Baseball
The Phantom,10770,10,Other Theater
The Drowsy Chaperone,7259,2000,Musicals
Monster Jam,2186,14,Monster Truck
Barry Manilow,65,15,Adult Contemporary
Celine Dion,149,12,Adult Contemporary
Danny Gans,1378,2000,Comedy Shows
Pageant Of Masters,643,2000,Exhibits
Les Miserables,461,21,Musicals
Go Diego Go Live! the Great Jaguar Rescue,11689,2000,Family Shows
St. Paul Saints,2030,2000,Other Sports
Cirque du Soleil: La Nouba,7501,2000,Cirque Shows
South Pacific,2083,2000,Musicals
The 39 Steps,14298,2000,Musicals
Disney On Ice: Princess Wishes,10181,26,Family Shows
Sunday in the Park with George,5508,2000,Other Theater
Harlem Globetrotters,351,2000,Other Sports
Larry the Cable Guy,4060,2000,Comedy Shows
Summer Games/ Handball,4414,2000,Summer Games
Summer Games/ Volleyball,4425,2000,Summer Games
Avril Lavigne,3062,2000,Pop
Summer Games/ Soccer,4412,2000,Summer Games
Summer Games/ Basketball,4404,2000,Summer Games
Summer Games/ Field Hockey,4415,2000,Summer Games
Masters Hospitality,6831,2000,Other Sports
August: Osage County,14439,2000,Other Theater
US Open Tennis,901,12,Tennis
Bon Jovi,101,13,Hard Rock
Celtic Woman,6976,2000,World Concerts
Chris Rock,169,8,Comedy Shows
We Will Rock You,5333,2000,Musicals
Tom Jones,868,2000,Pop
David Copperfield,220,2000,Other Theater
Rush,745,2000,Classic Rock
Van Halen,907,10,Hard Rock
Doodlebops,7209,27,Family Shows
Matchbox Twenty,520,7,Other Concerts
Macbeth,7387,2000,Other Theater
Jesus Christ Superstar,998,2000,Musicals
The Wedding Singer,7945,2000,Musicals
Summer Games/ Baseball,4403,2000,Summer Games
A Bronx Tale,14214,2000,Other Theater
Stars On Ice,810,2000,Other Theater
Three Days Grace,4845,2000,Hard Rock
November,14493,2000,Other Theater
Flogging Molly,5625,2000,Other Concerts
UEFA Euro,5287,2000,Other Sports
Bruce Springsteen,121,5,Other Concerts
Jill Scott,1554,2000,R&B
WWE - World Wrestling Entertainment,945,10,Wrestling
Elton John,272,2000,Classic Rock
Playhouse Disney Live! On Tour,12939,28,Family Shows
Summer Games/ Table Tennis,4421,2000,Summer Games
Riverdance,729,2000,Ballet and Dance Shows
Rascal Flatts,2407,21,Country and Folk
Kid Rock,439,2000,Alternative Rock
Michael Buble,4735,15,Adult Contemporary
Jonas Brothers,9000,1,Hard Rock
Cirque Dreams,4625,2000,Other Theater
Foo Fighters,991,6,Other Concerts
Disney on Ice: Finding Nemo,5731,25,Family Shows
Queensryche,702,2000,Hard Rock
Martina McBride,514,2000,Country and Folk
Jay Leno,1311,2000,Comedy Shows
BB King,67,2000,Blues and Jazz
Los Angeles Philharmonic,4781,2000,Classical and Orchestra
Angels and Airwaves,8900,2000,Other Concerts
Rock 'N' Roll,14331,2000,Other Theater
Cleveland Cavaliers,182,2000,Central
Emery,8516,2000,Hip Hop and Rap
Brad Paisley,1469,23,Country and Folk
Seattle SuperSonics,773,2000,Northwest
Orlando Magic,636,2000,Southeastern
Milwaukee Bucks,550,2000,Central
Summer Games/ Boxing,4407,2000,Summer Games
Detroit Pistons,239,2000,Central
Houston Rockets,360,2000,Southwestern
Golden State Warriors,328,2000,Pacific
Summer Games/ Beach Volleyball,4406,2000,Summer Games
Miami Heat,533,2000,Southeastern
Minnesota Timberwolves,553,2000,Northwest
Keith Urban,2822,10,Country and Folk
Professional Bull Riders,1162,2000,Rodeo
Summer Games/ Weightlifting,4426,2000,Summer Games
Summer Games/ Waterpolo,4399,2000,Summer Games
Chicago Bulls,161,2000,Central
Washington Wizards,926,2000,Southeastern
Philadelphia 76ers,668,2000,Atlantic
Phoenix Suns,679,2000,Pacific
New Orleans Hornets,153,2000,Southwestern
Indiana Pacers,369,2000,Central
Sony Ericsson Open,2627,2000,Tennis
Cirque du Soleil: Saltimbanco,12864,2000,Other Theater
Philadelphia Flyers,670,2000,Atlantic
Utah Jazz,902,2000,Northwest
Marilyn Manson,507,2000,Hard Rock
Toronto Raptors,879,2000,Atlantic
Portland Trail Blazers,690,2000,Northwest
Taste of Chaos,6417,2000,Other Concerts
Juanes,3635,2000,Other Concerts
Milwaukee Admirals,548,2000,Minor League Hockey
Sacramento Kings,748,2000,Pacific
San Antonio Stock Show and Rodeo,1461,2000,Pop
Kenny Chesney,1440,2000,Country and Folk
Walking with Dinosaurs,13004,14,Other Theater
Memphis Grizzlies,910,2000,Southwestern
Los Angeles Clippers,480,2000,Pacific
Santana,762,2000,Other Concerts
Dallas Mavericks,215,11,Southwestern
Houston Rodeo,3990,3,Pop
Annie,37,2000,Musicals
Silverstein,8091,2000,Other Concerts
New Jersey Devils,593,2000,Atlantic
Gigantour,525,8,Other Concerts
Citizen Cope,6639,2000,Alternative Rock
Lord Of The Dance,476,2000,Ballet and Dance Shows
Pacific Life Open,2555,2000,Tennis
Montreal Canadiens,559,22,Northeast
Denver Nuggets,235,2000,Northwest
Atlanta Hawks,52,2000,Southeastern
Jeff Dunham,2660,2000,Comedy Shows
Boston Celtics,105,11,Atlantic
Los Angeles Lakers,483,2000,Pacific
Toronto Marlies,7524,2000,Other Sports
Phoenix Coyotes,677,20,Pacific
Legends in Concert,3801,2000,Festivals and Special Shows
Bette Midler,77,2000,Adult Contemporary
New York Knicks,602,2000,Atlantic
Spice Girls,803,9,Pop
Buffalo Sabres,129,12,Northeast
Joe Jackson,408,2000,Other Concerts
Florida Panthers,1132,2000,Southeast
Robin Trower,8967,2000,Other Concerts
Summer Games/ Fencing,4411,2000,Summer Games
Toronto Maple Leafs,878,2000,Northeast
Bill Gaither & Homecoming Friends,5080,2000,Country and Folk
Nashville Predators,573,2000,Central
Summer Games/ Badminton,4402,2000,Summer Games
Take Action Tour,4592,2000,Other Concerts
Def Leppard,230,2000,Hard Rock
New Jersey Nets,594,2000,Atlantic
San Antonio Spurs,754,2000,Southwestern
Vancouver Canucks,909,2000,Northwest
Boston Bruins,104,20,Northeast
College World Series,189,2000,NCAA Baseball
Linkin Park,1492,14,Alternative Rock
Colorado Avalanche,191,2000,Northwest
Cats,147,2000,Musicals
San Jose Sharks,761,2000,Pacific
Moody Blues,562,2000,Classic Rock
New York Islanders,600,2000,Atlantic
The Cure,210,2000,Other Concerts
Dancing With the Stars,11491,34,Family Shows
Dallas Stars,216,2000,Pacific
