Event Name,Event ID,EventIntroText,EventText,EventImagePathname
Wicked,4167,Grab on to some Wicked tickets and discover the land of Oz before the twister that took Dorothy for that wicked ride. Wicked tickets let you see the events that shaped two girls from the Land of Oz into the most well-known and magical Ozians of all time.,"<p>With a tour stopping at Gammage Auditorium in Tempe, Arizona and Paramount Theate in Seattle, Wicked tickets will go fast! Toronto Wicked tickets, Seattle Wicked tickets, San Diego Wicked tickets, as well as Costa Mesa, Tempe, and Portland Wicked tickets will put cities across the continent under the spell of Wicked! Be there as the untold story of Oz unfolds before your very eyes! Dates for Seattle Wicked tickets, Toronto Wicked tickets, and Tampa Wicked tickets are limited for all tour stops so buy Wicked tickets before the sand runs out of the hourglass. ""I do believe that you'll be changed for the better"" with Wicked tickets! Get your Wicked tickets before it's too late!</p>
<br/>
<p>The novel by Gregory Maguire - ‘Wicked – the Life and Times of the Wicked Witches of the West’ takes a completely novel approach to fairytale story telling. This is the prequel to ""The Wizard of Oz."" The music score for the show is sure to bring back childhood memories from the childhood film classic Wizard of Oz. The Broadway show debuted on October 30, 2003 starring Kristen Chenoweth as Glinda, Idina Menzel as Elphaba, and Joel Grey as the wizard. The show took the United States by storm. The production was nominated for 10 Tony Awards in 2004, coming away with Best Actress, Scenic Design, and Costume Design.</p>",
Hannah Montana,10475,"It's not too late to get your tickets for the next Miley Cyrus As Hannah Montana concert. Ticket availability is constantly changing so don't hesitate to buy your tickets today. Find the best seats in the house or the love the view from the rafters, either way you can't miss out on your chance to see Miley Cyrus As Hannah Montana live. Pop concert tickets have been some of the hottest tickets in town no matter who's playing. So go ahead and click on your local venue and find the best seats available to see Miley Cyrus As Hannah Montana now.","<p>Hannah Montana's recent album, a soundtrack of the smash TV hit of the same name, has already been making waves in the music world. In its first week, it sold 281,000 copies, thousands more than My Chemical Romance and John Legend, who also debuted albums. </p>",Images/hannah_montana.jpg
New England Patriots,592,"New England Patriots Head Coach Bill Belichick is hoping the Patriots will have another winning record for the 2008 season.  Thanks to key players, including quarterback Tom Brady, wide receiver Randy Moss, line backer Tedy Bruschi, and running back Laurence Maroney, the Patriots have strong chance of pulling in another championship title in 2008.  Fans will be turning out in droves to watch New England Patriots games, both at their home field in Foxboro and at other NFL stadiums across the country.  New England Patriots tickets are sure to sell out fast as their fans dream of watching their favorite team become Super Bowl champions once again. ","<p>The New England Patriots were brought into the NFL in 1959 when the team was created as the last franchise in the newly formed American Football League.  The team made it to their first AFL championship game in 1963, where they lost to the San Diego Chargers.  1963 would mark the only time that decade the Patriots could make it to a championship, but they made up for their dismal showing by the mid-1970s, when the team consistently putting out winning seasons for the next few years.  Although the New England Patriots did not win the Super Bowl until 2002, they often brought home the AFL championships, but were defeated in early games during post-season play.  In 2002, the team was viewed as the underdog in the Super Bowl game against St. Louis Rams, but managed to pull out a stunning win that would finally prove to fans that the New England Patriots were one of the NFL’s strongest teams at the start of the new millennium. </p><p>After losing to the Indianapolis Colts in the AFC championship in the 2006 season, the New England Patriots made it to the Super Bowl championship with a stunning 18-0 record in 2007. The New Englad Patriots were ready to win their 19th straight game, but the New York Giants were better prepared and defeated the New England Patroits in Super Bowl 42. </p><br/><p> Fans attending New England Patriots games at Gillette Field will be there to watch as the team tries to make it to another championship, and possibly even the Super Bowl. </p><p>Since their back-to-back Super Bowl wins in 2004 and 2005, the Patriots have been fighting to stay on top of the NFL standings.  Quarterback Tom Brady proved his worth in both Super Bowls, with last-minute plays that won the games, bring the Patriots from underdog team to top of the pack.  And now, fans turn out in droves at New England Patriots games to watch Brady and the rest of the Patriots face off against other NFL teams.</p>   ",Images/football_patriots.jpg
New York Giants,599,"The New York Giants will be giving lucky ticket-holders a stomping good time as they attempt to bulldoze through the competition and make their way toward another Super Bowl title.   The 2007 season saw the Giants improving on this disappointing 2006 season, with a 10-6 record and just enough talent to squeak into the playoffs as a wild card.  The New York giants went on to beat the Tampa Bay Buccaneers, the Dallas Cowboys, and the Green Bay Packers to win the NFC championship and make their way to the Super Bowl, making the Giants only the ninth team in NFL history to win a place in the Super Bowl after starting as a wild card.  The team fulfilled every football fan’s dream by beating out the favored New England Patriots to win the Super Bowl, bringing the team its first ever Super Bowl win.","<p>With returning players Eli Manning, Lawrence Tynes, Tom Brady, and other stars, tickets to New York Giants games are sure to be a best seller thanks to the team’s recent Super Bowl win, as well as the notoriety of some of its key players, including Tom Brady, who recent relationship woes have made him a paparazzi favorite.  However, the team is not afraid of the spotlight, and hasn’t been since its humble beginnings in 1925.  </p><br/>
<p>Businessman and bookmaker Tim Mara created the New York Giants in 1925, hoping to bring professional football out of the shadow of baseball, boxing, and other major sports by bringing an NFL team to the popular city of New York.   The team managed its first championship in only its third season, but the substantial losses Mara faced in the 1927 stock market crash and the ensuing Depression threatened the New York Giants’ future.  The team’s perseverance helped them through tough times during both the Depression and World War II, when the team lost many of its star players to the military.  Despite those losses, the New York Giants still managed to bring three championship titles to New York during the 1940s.</p><br/>
<p>The 1950s were a banner decade for the New York Giants as games were filled with fans cheering on their favorite players, many of whom became household names as they recruited top college players who kept the team on top of the NFL standings.  </p><br/>
<p>The Giants went through a period of transition in the 1970s, with coaching and roster changes that would shuffle the team’s dynamic and cause fans to question what the team’s future might hold.  Despite those transitions, the New York Giants emerged better and stronger, becoming one of the most popular teams in the division, despite their lack of Super Bowl wins.  </p><br/>
<p>Loyal fans turn up in droves to take in New York Giants games at Giants Stadium in New York, cheering their team on, watching the Giants make history, and hoping that this year might bring another championship title to the great city of New York.  </p>",
The Police,4279,"The highlight of the 2007 Grammy awards came when Sting walked on to the stage and declared, ""Ladies and Gentlemen, we are the Police and we are back!"" One of the most successful and influential bands off all time is about to tour the country once again and you can be there live with The Police Concert Tickets !", ,Images/the_police_tickets.jpg
Arizona Diamondbacks,41,"The Diamondbacks are hoping their 2008 season will be another winner.  General manager Bob Melvin is hoping that the Diamondbacks’ young lineup will give them an advantage over other major league teams, and with talent like shortstop Stephen Drew, outfielders Carlos Quentin and Chris Young, as well as former White Sox player Jose Vazquez and second baseman Orlando Hudson, fans will not be disappointed.  Arizona Diamondbacks games at Chase Field, and across the country, are sure to delight fans young and old! ","<p>The Arizona Diamondbacks are the first professional baseball team for the state, and, since their debut at Chase Field in 1998, the Arizona Diamondbacks have been gaining popularity with professional baseball fans around the country.  The team may have had a disappointing first season in 1998, but made up for that disappointment by winning the National League West Division Title.  Although they were defeated in the first round of the division playoffs by the New York Mets, winning the National League West Title certainly made fans sit up and take notice of the new team on the block.  Tickets to Arizona Diamondback games soon became one of the hottest tickets in town, with fans turning up to take in Diamondback games at Chase Field and other baseball venues around the country.</p><br/>
<p>The Arizona Diamondbacks’ 2000 season may have been another disappointment for fans, but in 2001 the team’s star players turned on the heat and captured their second Division Title.  The Diamondbacks, with the help of players like Luis Gonzales, Curt Schilling, and Randy Johnson, made it to the World Series in 2001, where they faced off against the New York Yankees in a nail-biting seven-game series that was one of the most watched in major league baseball history.  In the end, the Arizona Diamondbacks managed to win their first World Series Title in 2001, becoming the first major league baseball team to win the Series within their first four years of existence, a record that has yet to be broken.</p>",
Atlanta Braves,50,"The team is hoping to bring home another division title, and maybe even play in the World Series once again, for their 2008 season.  Despite breaking their division title winning streak in 2007 with a disappointing season, the team is hoping to make a strong showing in regular and post-season play.  Braves general manager John Schuerholz is focusing on improving the Atlanta Braves’ pitching staff for the 2008 season, bringing in Rafael Soriano from the Mariners and Mike Gonzalez from the Pirates, as well as relying on the team’s star players, including John Smoltz, Bob Wickman, and Tom Hudson.  Atlanta Braves games at Turner Field are sure to be exciting for fans and the players as the team tries to get back on the winning side and bring World Series glory to Atlanta once again. ","<p>Over the last few years, the Atlanta Braves have been one of the most successful teams in major league baseball during regular season.  Atlanta Braves games at Turner Field entice fans young and old, who come to watch their favorite team and players create baseball magic.  But, despite their strong showing in regular season, the team has only managed to pull out three championships in their history, in 1914, 1957, and 1995.  The team boasts a record twelve post-season appearances from 1991 to 2003, but with only one World Series win to show for their efforts.  The 1995 season was the team’s most memorable though, with the Atlanta Braves finally winning the World Series, defeating the Cleveland Indians 4-2.
</p><br/>
<p>Since their 1995 World Series wins, the Atlanta Braves have appeared in post-season play in seven seasons, but failed to bring home another Series win.  Despite their lack of World Series titles, tickets to Atlanta Braves games, both at their home stadium of Turner Field and at other major league baseball venues around the country, are a hot commodity, with fans showing up in droves to cheer on their favorite players.</p>",
Colorado Rockies,193,"Their young stars took them to the 2007 World Series thanks to players like Jeff Francis, Todd Helton, Matt Holliday, and Willy Taveras, as well as the high altitude in Denver, the team is hoping to get to the pennant again this year.  The young staff and their drive for a championship are sure to make Colorado Rockies games at Coors Field, and at other baseball venues across the country a huge draw for fans, who are waiting for their team to take their place in major league baseball history.  ","<p>The Colorado Rockies certainly haven’t made baseball history since their formation in 1993, but that doesn’t mean the team lacks the heart or the fans needed to make them a sports staple in the city of Denver!  Fans enjoy taking in Colorado Rockies games at Coors Field, no matter who the team is facing off against, and each year, they hold their breath, hoping it might be the team’s year to bring home a pennant. </p>",
Texas Rangers,853,"After their 2006 record of 80-82 and third place ranking in the American League West, fans are hopeful that the team might finally pull a winning season out of their hat.  Texas Rangers games at their home ballpark and at other baseball venues across the country are sure to be a big draw in 2007.  New manager Ron Washington is pinning his pennant hopes on players such as Hank Blalock, Mark Teixeira, and Michael Young.  And of course, with Sammy Sosa now playing for the Texas Rangers, Washington, and Texas Rangers fans, are hoping the baseball legend will perform as well as he did during his glory days with the Chicago Cubs.  If the team can pull together in time, they may have a chance of producing a winning season, giving fans reason to cheer for the team once again! ","<p>The Texas Rangers, originally the Washington Senators, made their debut in Texas in 1972.  Until 2002, the Rangers’ greatest claim to fame was that they were the longest running American League franchise to not win a pennant.   But, in 2002, that all changed when the Rangers won their first division title.  Although the team has never advanced to a World Series win, they have won the American League West division three times in their history. 
</p><br/>
<p>But, long-standing fans of the team still turn out to cheer their favorite players on at Texas Rangers games at The Ballpark in Arlington.  Despite their less than stellar record, the Texas Rangers can boast some of baseball biggest sluggers, pitchers, and outfielders, including slugger Frank Howard, Toby Harrah, Buddy Bell, Mike Hargrove, Al Oliver, Bump Williams, and Jim Kerns.  Even though the team couldn’t keep their star players for long, they did lend credibility to the team and give fans some hope that a World Series title might be in their future.</p>",Images/texas_rangers_tickets.jpg
Cincinnati Reds,173,"Due to their past successes, fans still turn out in droves to take in Cincinnati Reds games at Great American Ball Park, and at other baseball venues across the country.  Fans of all ages look forward to watching their favorite players strive to make baseball history again.   In 2007, the team is relying on its solid pitching staff and good defense.  Fans may have pinned their hopes on Ken Griffey Jr. for bringing another pennant to Cincinnati, but his countless injuries and frequent appearances on the Disabled List are frustrating fans, as well as fellow teammates.  But, with solid players like Adam Dunn, Kyle Lohse, Bronson Arroyo, and Aaron Harang rounding out the Cincinnati Reds’ roster, the team should make a strong showing for the 2007 season, enticing fans to spend time at the ballpark, taking in a Cincinnati Reds game and falling in love with America’s favorite pastime all over again!","<p>The Cincinnati Reds, originally the Cincinnati Red Legs, were major league baseball’s first franchise.  The original team traveled the Midwest as early as 1878, beating nearly every team they encountered.  Though the twentieth-century Reds aren’t quite as successful, they still boast five World Series titles, in 1919, 1940, 1975, 1976, and 1990, as well as four National League Pennants.  But, without a doubt, the team’s most notorious World Series title was the 1919 series, where the team faced off against the Chicago White Sox.  Eight White Sox players were later banned from professional baseball for intentionally losing the series.  Who knows if the Reds would have won the series on their own, but their inadvertent involvement in the tainted series has made them part of baseball’s darker  history.   In the 1970s, the team made history for a more positive reason, becoming the first National League team to win back-to-back World Series since the 1922 Giants.</p>",
