Event,EventID,CategoryId
Baltimore Orioles,59,15
MLB All Star FanFest,4187,1999
MLB All Star Sunday,2025,1999
MLB All Star Game Hotels,5583,1999
MLB Home Run Derby,1920,1999
MLB All Star Game Package,6439,1999
MLB All Star Game,21,1999
MLB All Star Hospitality,8788,1999
NCAA Womens Tournament,2658,1533
Big 12 Baseball Tournament,7143,1531
College World Series,189,1531
Futures at Fenway,8990,1530
NFL Pro Bowl,696,24
Rose Parade,1023,1539
NCAA Mens Basketball Tournament,2652,1525
NCAA Mens East Regionals,579,1525
NCAA Mens West Regionals,584,1525
NCAA Mens South Regionals,583,1525
NCAA Mens Final Four Hotel Rooms,7856,1525
NCAA Mens Final Four Packages,4016,1525
Celebrity Basketball Game,2640,156
USA Basketball,2936,156
Zo's Summer Groove Block Party & All Star Game,9593,156
And 1 Mix Tape Tour,4430,156
UIL Boys Basketball Tournament,3756,156
New Hampshire Fisher Cats,9305,1521
Columbus Clippers,1947,1521
Las Vegas Area 51s,6961,1521
Indianapolis Indians,1808,1521
Mastercard Memorial Cup,5485,1520
Scranton Wilkes-Barre Yankees,2711,1520
Utah Blaze,8265,69
ArenaBowl,4483,1519
Kansas City Brigade,8336,68
USAC Sprint Car,8256,1518
Stater Brothers 300,6250,1535
NHRA Matco Tools Supernationals,4324,1517
Belmont Stakes,1161,1516
Del Mar Thoroughbred Racing,3319,1516
Saratoga Horse Racing,4542,1516
Arlington Million,4604,1516
Kentucky Oaks,1781,1516
Kentucky Derby,436,1516
Kentucky Derby Package,6539,1516
Monaco Grand Prix,2692,1515
Canadian Grand Prix,1924,1515
US Grand Prix Practice,2115,1515
US Grand Prix,899,1515
British Grand Prix,8547,1515
Toronto Grand Prix,2691,1515
Italian Grand Prix,3960,1515
Japanese Grand Prix,4723,1515
Indy 500 Practice,8902,1514
Indy 500 Festival Parade,1927,1514
Suntrust Indy Challenge,4359,1514
Calgary Stampede Chuckwagon Races,10036,1513
Monster Truck Nationals,5104,1512
Monster Jam,2186,1512
Fight Night At the Tank,5283,1510
World Championship Boxing,8706,1510
HBO Boxing After Dark,2430,1510
Arturo Gatti,1638,1510
Ultimate Fighting Championship,1905,1509
Cage Fighting,8523,1509
Ultimate Fight Night,8818,1509
Extreme Fighting,3486,1509
Ultimate Fighter Finale,10013,1509
International Fight League,10109,1509
King of the Cage,5026,1509
WWE - World Wrestling Entertainment,945,1508
Ring of Honor Wrestling,5671,1508
AVCA/NACWAA Volleyball Classic,7392,1507
US Men's National Soccer,7459,1506
Concacaf Gold Cup,6886,1506
US Women's National Soccer,2990,1506
World Cup Soccer,944,1506
Valencia,7820,1506
Club America of Mexico,8519,1506
New York Red Bulls,5551,1505
Chivas USA,6939,1505
Columbus Crew,4530,1505
Chicago Fire,4233,1505
FC Dallas,7116,1505
DC United,924,1505
MLS All Star Game,4504,1505
MLS Championship Cup,2784,1505
Colorado Rapids,192,1505
Los Angeles Galaxy,2678,1505
New England Revolution,1018,1505
Real Salt Lake,7240,1505
Houston Dynamo,8825,1505
Kansas City Wizards,4531,1505
World Cup Rugby,4599,1503
Professional Bull Riders,1162,1502
Calgary Stampede Rodeo,7719,1502
Professional Bull Riders World Finals,7194,1502
National Finals Rodeo,576,1502
National Finals Rodeo Hotel Rooms,11423,1502
NCAA Lacrosse Championships,4343,252
Los Angeles Riptide,9804,252
WNBA All Star Game,2844,157
NHL Draft,9732,91
Grey Cup,3762,79
Big 12 Mens Football Championship,4549,37
ACC Mens Football Championship,6819,36
NFL Hall Of Fame Game,349,24
NFL Hall of Fame Enshrinement,4578,24
Super Bowl Hotel Rooms,2549,24
Super Bowl Package,3842,24
Super Bowl,1124,24
Super Bowl Playboy Party,3959,24
Super Bowl NFL Experience,3942,24
Super Bowl Maxim Party,2512,24
Super Bowl NFL Tailgate Party,2548,24
Stella Artois Tennis,8556,12
Wimbledon Packages,9792,12
Rock N Racquets,3788,12
Western & Southern Financial Group Masters Tennis,4555,12
CTC Pole Night,4332,10
Miller Lite Carb Day,4363,10
Carquest Auto Parts 300,2474,10
Dover 200,2483,10
ABC Supply/A.J. Foyt 225,7431,10
Bombardier Learjet 500,3993,10
AT&T 250,5525,10
Brumos Porsche 250,7230,10
USG Pole Day,7298,10
USG Sheetrock 400 Qualifying,9935,10
USG Durock 300,7297,10
Kroger 200,1109,10
Rolex Sports Car Series Race,4139,10
Kentucky 300,2476,10
Emerson Radio 250,6459,10
S-K Hand Tool 200,7249,10
Peak Antifreeze Indy 300,1744,10
Yellow Transportation 300,7817,10
Hooters Pro Cup 200,12602,10
O'Reilly Challenge,6257,10
Busch 200,2473,10
Budweiser Shootout,2492,10
Gatorade Duel,1548,10
Daytona 250,2454,10
Daytona 500 Hotels,6431,10
US Open Golf Packages,6856,8
US Open Golf Hotels,6857,8
US Open Golf Hospitality,10513,8
British Open Multi-Day Pass,6682,8
Masters Packages,6436,8
Deutsche Bank Championship,4171,8
Solheim Cup,6719,8
Meijer 300,4339,1535
Brett Favre Celebrity Softball,7109,1526
Strikeforce,8574,1509
Toyota Tundra Milwaukee 200,7220,1537
Rage In the Cage : Xtreme Cage Fighting,5271,1509
Omaha Royals,5581,1521
Salt Lake Bees,10018,1526
Chelsea FC,2328,1506
ESPN X Games,5566,1513
Firestone Indy 400,7147,1514
Rogers Cup Womens Tennis Canada,7326,12
US Open Tennis Grounds Admission,7280,12
Dollar General 300,10284,1526
NHRA Drag Racing Winternationals,5246,1517
SEC Championship,775,45
BCS National Championship,8099,177
Las Vegas Practice/Qualifying,9951,1526
Professional Rodeo,7292,1502
Mexico National Soccer,3987,1506
ARCA RE/MAX Series,8264,1537
World Fighting League,12337,1509
United Fight League,11168,1509
Kroger 250,8538,1536
Michigan 200,12706,1536
Chevy Silverado HD 250,8537,1536
Ricky Hatton,9152,1510
Erik Morales,2428,1510
Bernard Hopkins,4019,1510
Matt Vanda,13240,1510
Fury in the Ring,13364,1510
Cincinnati Jungle Kats,12791,74
Patriot Bowl,13019,177
Poinsettia Bowl,7421,177
Las Vegas Bowl,2346,177
Holiday Bowl,3855,177
Champs Sports Bowl,2354,177
Texas Bowl,2342,177
Liberty Bowl,2347,177
Alamo Bowl,3856,177
Independence Bowl,1489,177
Chick-fil-A Bowl,2687,177
Outback Bowl,1436,177
Capital One Bowl,1470,177
Gator Bowl,2343,177
Cotton Bowl,198,177
Rose Bowl,740,177
Fiesta Bowl,287,177
Orange Bowl,633,177
Indy 500,372,1514
Chicago Invitational Challenge,11251,1525
Reebok Heroes Celebrity Baseball Event,13391,1526
Greenville Drive,11986,1526
Asheville Tourists,11991,1521
Anaheim Angels Season Ticket Packages,13482,1530
Augusta GreenJackets,11992,1521
Baseball Hall of Fame Induction,11494,1530
Charleston Riverdogs,11988,1521
Columbus Catfish,11987,1521
Delmarva Shorebirds,12000,1521
Florida International Panthers Baseball,12218,1524
Gonzaga Bulldogs Baseball,12418,1524
Greensboro Grasshoppers,11994,1521
Hagerstown Suns,11999,1521
Hickory Crawdads,11997,1521
Kannapolis Intimidators,11993,1521
Lake County Captains,11998,1521
Lakewood BlueClaws,12001,1521
Lexington Legends,11995,1521
Mahoning Valley Scrappers,8926,1521
Miami of Ohio Red Hawks Baseball,12699,1524
MLB Futures and Legends Game,12422,1530
Oklahoma State Cowboys Baseball,9224,1524
Rome Braves,11989,1521
Savannah SandGnats,11990,1521
Tampa Yankees,13013,1521
Texas San Antonio Roadrunners Baseball,12702,1524
Texas State San Marcos Bobcats Baseball,12701,1524
Tony Gwynn Classic,12530,1530
Washington State Cougars Baseball,12698,1524,
West Virginia Power,11996,1521,
Winthrop Eagles Baseball,12700,1524,
Albany River Rats,6077,1520,AHL
Binghamton Senators,6016,1520,AHL
Bridgeport Sound Tigers,6078,1520,AHL
Chicago Wolves,1215,1520,AHL
Grand Rapids Griffins,1223,1520,AHL
Hamilton Bulldogs,7916,1520,AHL
Hartford Wolfpack,6086,1520,AHL
Hershey Bears,6079,1520,AHL
Houston Aeros,1219,1520,AHL
Iowa Stars,7918,1520,AHL
Lowell Lock Monsters,6087,1520,AHL
Manchester Monarchs,4029,1520,AHL
Manitoba Moose,1220,1520,AHL
Milwaukee Admirals,548,1520,AHL
Norfolk Admirals,6080,1520,AHL
Omaha Ak-Sar-Ben Knights,7917,1520,AHL
Peoria Rivermen,6125,1520,AHL
Philadelphia Phantoms,1499,1520,AHL
