Event,EventID,SubcategoryID,SubcategoryName
Teen Choice Awards,3034,1100,Awards and TV Shows
Jon Stewart,2717,1100,Awards and TV Shows
Opie & Anthony,6243,1100,Awards and TV Shows
MTV Movie Awards,1971,1100,Awards and TV Shows
Antiques Roadshow,2046,1100,Awards and TV Shows
Dancing With the Stars,11491,1105,Family shows
Forever Tango,3946,1101,Ballet and Dance Shows
Kirov Ballet,4772,1101,Ballet and Dance Shows
Moscow Ballet's Great Russian Nutcracker,7652,1101,Ballet and Dance Shows
Riverdance,729,1101,Ballet and Dance Shows
Stomp,821,1101,Ballet and Dance Shows
Swan Lake,834,1101,Ballet and Dance Shows
Mikhail Baryshnikov,545,1101,Ballet and Dance Shows
New York City Ballet,3792,1101,Ballet and Dance Shows
Nevada Ballet Theater,13425,1101,Ballet and Dance Shows
Lord Of The Dance,476,1101,Ballet and Dance Shows
Cirque Du Soleil: Wintuk,12722,1102,Cirque Shows
Cincinnati Ballet,8449,1102,Cirque Shows
Cirque Du Soleil: Corteo,7214,1102,Cirque Shows
Cirque Du Soleil: Delirium,7901,1102,Cirque Shows
Cirque Du Soleil: KA,5807,1102,Cirque Shows
Cirque Du Soleil: Kooza,12192,1102,Cirque Shows
Cirque Du Soleil: La Nouba,7501,1102,Cirque Shows
Cirque Du Soleil: Love,9243,1102,Cirque Shows
Cirque: O,1123,1102,Cirque Shows
Artie Lange,6890,1103,Comedy Shows
Best Damn Comedy Jamn,5086,1103,Comedy Shows
Bill Cosby,85,1103,Comedy Shows
Bill Engvall,4748,1103,Comedy Shows
Chris Rock,169,1103,Comedy Shows
Bill Maher,2057,1103,Comedy Shows
Bob Saget,8421,1103,Comedy Shows
Brad Garrett,6751,1103,Comedy Shows
Brian Regan,5637,1103,Comedy Shows
Bruce Bruce,3965,1103,Comedy Shows
Carlos Mencia,1863,1103,Comedy Shows
Chris Tucker,9443,1103,Comedy Shows
Colin Mochrie,4629,1103,Comedy Shows
Craig Ferguson,10433,1103,Comedy Shows
D. L. Hughley,1570,1103,Comedy Shows
Damon Wayans,1563,1103,Comedy Shows
Dana Carvey,3458,1103,Comedy Shows
Danny Gans,1378,1103,Comedy Shows
David Spade,2682,1103,Comedy Shows
Def Comedy Jam,229,1103,Comedy Shows
Dennis Miller,984,1103,Comedy Shows
Don Rickles,1339,1103,Comedy Shows
Eddie Griffin,2726,1103,Comedy Shows
Frank Caliendo,5701,1103,Comedy Shows
George Carlin,313,1103,Comedy Shows
George Lopez,2209,1103,Comedy Shows
Howie Mandel,362,1103,Comedy Shows
Jay Leno,1311,1103,Comedy Shows
Jeff Foxworthy,390,1103,Comedy Shows
Jerry Seinfeld,394,1103,Comedy Shows
Jim Gaffigan,8165,1103,Comedy Shows
Josh Blue,11000,1103,Comedy Shows
Kathy Griffin,3944,1103,Comedy Shows
Killers of Comedy,7815,1103,Comedy Shows
Lewis Black,2615,1103,Comedy Shows
Lisa Lampanelli,8170,1103,Comedy Shows
Louis C.K.,10521,1103,Comedy Shows
Martin Short,2629,1103,Comedy Shows
Michael Ian Black,10080,1103,Comedy Shows
Mike Epps,4132,1103,Comedy Shows
Paul Rodriguez,1752,1103,Comedy Shows
Paula Poundstone,1646,1103,Comedy Shows
Queens of Comedy,1598,1103,Comedy Shows
Ray Romano,2196,1103,Comedy Shows
Richard Lewis,1019,1103,Comedy Shows
Rickey Smiley,6495,1103,Comedy Shows
Robert Schimmel,7592,1103,Comedy Shows
Ron White,5062,1103,Comedy Shows
Russell Peters,8022,1103,Comedy Shows
Sandra Bernhard,1852,1103,Comedy Shows
Sinbad,1802,1103,Comedy Shows
Steve Harvey,1026,1103,Comedy Shows
Steven Wright,818,1103,Comedy Shows
The Nasty Show,7305,1103,Comedy Shows
Tracy Morgan,5319,1103,Comedy Shows
Wayne Brady,1455,1103,Comedy Shows
Craig Shoemaker,4107,1103,Comedy Shows
Latin Kings of Comedy,8889,1103,Comedy Shows
Caroline Rhea,3735,1103,Comedy Shows
Gabriel Iglesias,3916,1103,Comedy Shows
Janeane Garofalo,1651,1103,Comedy Shows
