"10 Years",8320,1310,"Other Concerts"
"10,000 Lakes Festival",12853,1310,"Other Concerts"
"100 Proof",13228,1310,"Other Concerts"
"100% Colombiano",9650,1310,"Other Concerts"
"100.3 KILT Cinco de Country",12779,1310,"Other Concerts"
"100.3 the Beat Birthday Bash",6841,1310,"Other Concerts"
"100.3 the Beat Summer Jam",3024,1310,"Other Concerts"
"100.5 The Zone's Acoustic Xmas",11747,1310,"Other Concerts"
"1000 Clowns",1478,1310,"Other Concerts"
"10000 Maniacs",2,1310,"Other Concerts"
"101.7 FNX Phoenix Music Poll",4365,1310,"Other Concerts"
"102.1 The Edge Weenie Roast",7211,1310,"Other Concerts"
"102.7 KIIS FM Homecoming Concert",14289,1310,"Other Concerts"
"102.7 Masons Anniversary Show",5450,1310,"Other Concerts"
"103.5 the Beat Down",5506,1310,"Other Concerts"
"103.5 The Fox Hawgfest",2769,1307,"Festivals and Special Shows"
"105.9's America's Jazz Fest",2707,1310,"Other Concerts"
"106.1 Kiss Party",1895,1310,"Other Concerts"
"106.5 Kwod's Twisted Xmas",11074,1310,"Other Concerts"
"106.5 The End Weenie Roast",3539,1310,"Other Concerts"
"112",6468,1310,"Other Concerts"
"12 Hours of P. Diddy",12548,1310,"Other Concerts"
"12 Stones",13732,1310,"Other Concerts"
"120 Days",11336,1310,"Other Concerts"
"12th Night Party",12002,1310,"Other Concerts"
"12v Negative Earth",11514,1310,"Other Concerts"
"13 Days",10773,1310,"Other Concerts"
"13 Faces",8749,1310,"Other Concerts"
"1349",12531,1310,"Other Concerts"
"13th Borne",9064,1310,"Other Concerts"
"16 Candles",9065,1310,"Other Concerts"
"1964 the Tribute",3589,1304,"Classic Rock"
"1990's",14169,1310,"Other Concerts"
"2 Many DJS",10768,1310,"Other Concerts"
"216",9405,1310,"Other Concerts"
"24th Annual Int'l Reggae/World Music Awards",6938,1310,"Other Concerts"
"25 Ta Life",11796,1310,"Other Concerts"
"2u: a Tribute To U2",9727,1310,"Other Concerts"
"3",10205,1310,"Other Concerts"
"3 Doors Down",3789,1301,"Alternative Rock"
"3 Inches of Blood",10361,1310,"Other Concerts"
"3 Legged Dog",13752,1310,"Other Concerts"
"3 Minute Hero",12999,1310,"Other Concerts"
"30 Odd Foot of Grunt",1037,1310,"Other Concerts"
"30 OT 6",9269,1310,"Other Concerts"
"30 Seconds To Mars",5190,1310,"Other Concerts"
"311",3,1301,"Alternative Rock"
"36 Crazyfists",9938,1310,"Other Concerts"
"360 Smile",10774,1310,"Other Concerts"
"38 Special",4471,1304,"Classic Rock"
"3up 3down",11442,1310,"Other Concerts"
"4 Kings of Rhythm & Blues",5597,1310,"Other Concerts"
"4/20 Music Fest",4183,1310,"Other Concerts"
"40 Below Summer",5069,1310,"Other Concerts"
"400 Blows",13204,1310,"Other Concerts"
"5 Mile Blues Fest",13348,1303,"Blues and Jazz"
"50 Cent",4026,1310,"Other Concerts"
"5150",11943,1310,"Other Concerts"
"54-40",4901,1310,"Other Concerts"
"56 Hope Road",8568,1310,"Other Concerts"
"59 Falcon",13134,1310,"Other Concerts"
"60's Pop Rock Reunion",5488,1310,"Other Concerts"
"68 Comeback Special",1177,1310,"Other Concerts"
"70s Soul Fest",7562,1310,"Other Concerts"
"70s Soul Jam",1757,1307,"Festivals and Special Shows"
"757's",14645,1310,"Other Concerts"
"7th Cycle",11505,1310,"Other Concerts"
"80's Classic Summer Jam",13586,1310,"Other Concerts"
"80's Soul Jam",7737,1310,"Other Concerts"
"89X Birthday Bash",4338,1310,"Other Concerts"
"8th Annual Country Fair",6797,1310,"Other Concerts"
"9/11 Music Festival",7503,1310,"Other Concerts"
"90's Reunited",8917,1310,"Other Concerts"
"91x X Fest",12846,1310,"Other Concerts"
"92 Pro FM Birthday Bash",5392,1310,"Other Concerts"
"92.3 Old School Christmas Concert",2380,1310,"Other Concerts"
"92.5 XTU Anniversary Show",4337,1310,"Other Concerts"
"92.5 Xtu X-fest",11724,1310,"Other Concerts"
"93.3 Your Show",9003,1310,"Other Concerts"
"93XRT Rock and Roll Ball",3818,1310,"Other Concerts"
"94.5 PST's PopFest",9171,1310,"Other Concerts"
"94.7  the Zone Extreme Night Out",5502,1310,"Other Concerts"
"94.7 KTWUS Wave LA",2923,1310,"Other Concerts"
"94.7 The Wave Valentine's Concert",14788,1310,"Other Concerts"
"94.9 Anniversary Bash",11562,1310,"Other Concerts"
"94.9 Zeta Bonzai",1671,1310,"Other Concerts"
"95.5 Kyot Fall Festival",5741,1310,"Other Concerts"
"96.5 The Buzz Beach Ball",13629,1310,"Other Concerts"
"96.5tic-FM All Star Christmas",11641,1310,"Other Concerts"
"96X Fest",2891,1310,"Other Concerts"
"97.1 Presents B.F.D.",1953,1310,"Other Concerts"
"97.5 Popfest",3566,1310,"Other Concerts"
"97X Next Big Thing",11365,1310,"Other Concerts"
"97x Summer Rock Show",9540,1310,"Other Concerts"
"98 Degrees",5,1310,"Other Concerts"
"98 Rock Nutcracker Ball",6234,1310,"Other Concerts"
"98.1 Smooth Jazz festival",5503,1310,"Other Concerts"
"98.5 The Beat Bash",10313,1310,"Other Concerts"
"98.7 Kiss FM R&B Jam",1315,1310,"Other Concerts"
"98.9 Smooth Jazz Festival",2815,1310,"Other Concerts"
"99.5 Kiss Fall Fest",10698,1310,"Other Concerts"
"99.5 The Wolf Free for All",10418,1310,"Other Concerts"
"99X Big Day Out",3456,1307,"Festivals and Special Shows"
"99X Brouhaha",5940,1310,"Other Concerts"
"99X Fat Tuesday",1576,1310,"Other Concerts"
"99X Mistletoe Jam",4957,1310,"Other Concerts"
"99X Upstart Fest Part 2",5783,1310,"Other Concerts"
"A Better Tomorrow",11510,1310,"Other Concerts"
"A Celebration of Freedom",6575,1310,"Other Concerts"
"A Chance Without",12317,1310,"Other Concerts"
"A Change of Pace",11623,1310,"Other Concerts"
"A Chimaira Christmas",11759,1310,"Other Concerts"
"A Christmas Celtic Sojourn",14558,1310,"Other Concerts"
"A Closer Walk with Patsy Cline",8042,1310,"Other Concerts"
"A Concert In Support of Tsunami Relief",6624,1310,"Other Concerts"
"A Cool Jazz Christmas",10458,1310,"Other Concerts"
"A Day to Remember",11624,1310,"Other Concerts"
"A Donnie & Ce Ce Evening",10206,1310,"Other Concerts"
"A Dozen Red Roses",10755,1310,"Other Concerts"
"A Flock of Seagulls",6406,1310,"Other Concerts"
"A Funny Kind of Love",8440,1310,"Other Concerts"
"A Global Threat",13205,1310,"Other Concerts"
"A Great Night in Harlem",9448,1310,"Other Concerts"
"A Heartwell Ending",12449,1310,"Other Concerts"
"A Kid's Christmas",14339,1310,"Other Concerts"
"A Local Gathering of the Juggalos",12065,1310,"Other Concerts"
"A Mothers Hope",5234,1310,"Other Concerts"
"A Music & Comedy Explosion",4509,1310,"Other Concerts"
"A New Revolution",8950,1314,"Rock"
"A Night for Musical Memories",9422,1310,"Other Concerts"
"A Night of Healing",4677,1310,"Other Concerts"
"A Night of Legendary Music",12950,1310,"Other Concerts"
"A Night of Pure Guitar",9952,1310,"Other Concerts"
"A One Night Love Affair",13803,1310,"Other Concerts"
"A Oscuras Me Da Risa",12907,1310,"Other Concerts"
